id;interactive;language;city;address;gps_lat;gps_lng;title;text;question;options;correct_index;reality;explanation;routes;persons;tags
SD-0201-RU;False;ru;spb;Площадь Стачек, 5;59.90306;30.27472;Площадь Стачек — эхо народного гнева;На площади Стачек в начале XX века гремели митинги, где рабочие Нарвской заставы поднимали голоса за перемены. Отсюда шли колонны к центру города, их шаги сотрясали мостовые, а крики рвали тишину. Площадь назвали в честь их стачек — память о борьбе высечена в её камнях. Встань здесь — и услышишь отголоски тех бурных дней.;;;;fact;События Кровавого воскресенья 1905 года начались неподалёку.;RT-0022;;"история;революция"
SD-0203-RU;False;ru;spb;Малая Морская улица;59.93319;30.30762;Малая Морская — нить Адмиралтейства;Малая Морская улица родилась в XVIII веке в сердце Адмиралтейской слободы, где ремесленники Петра I ковали флот. Их топоры и молоты звенели среди деревянных хижин, пока пожар 1736 года не открыл путь каменной застройке. Теперь тут шепчет ветер о кораблях и труде минувших дней. Шагни вдоль — и вдохни запах смолы былых времён.;;;;fact;Улица стала одной из первых каменных в городе.;RT-0020;;"архитектура;история"
SD-0204-RU;False;ru;spb;Малая Морская улица, 13;59.93305;30.30801;Глинка и дом мелодий;В доме №13 на Малой Морской в 1830-х годах Михаил Глинка ткал ноты «Жизни за царя», вплетая в них душу Петербурга. Здесь, в отблесках свечей, собирались музыканты, и воздух дрожал от звуков скрипок и голосов. Город за окнами пел вместе с ним, рождая русскую оперу. Загляни сюда — вдруг услышишь эхо тех вдохновенных ночей.;;;;fact;Глинка заложил основы национальной музыки в этих стенах.;RT-0020;Михаил Глинка;"музыка;культура"
SD-0205-RU;False;ru;spb;Малая Морская улица, 9;59.93298;30.30845;Тень Достоевского на Малой Морской;По легенде, в полумраке Малой Морской у дома №9 бродит призрак Достоевского, чьи шаги звучат, как строки его мрачных повестей. Говорят, он навещал здесь друга, черпая вдохновение в угрюмых переулках для своих героев. Местные клянутся, что видели его силуэт в тумане. Остановись тут — не шепнёт ли он тебе свою тайну?;;;;legend;Этот район питал фантазии писателя о судьбах и грехах.;RT-0020;Фёдор Достоевский;"мистика;литература"
SD-0162-RU;False;ru;spb;Вознесенский проспект;59.93052;30.30601;Вознесенский — брат Невского;Вознесенский проспект, рождённый после пожаров 1736–1737 годов, — часть трёхлучевого замысла Еропкина, что пронзает Петербург от Адмиралтейства к Фонтанке. Он — младший брат Невского, но не менее гордый, с камнями, что помнят порядок и хаос города. Здесь ветер несёт отголоски строек и мечты о величии. Пройдись вдоль — и ощути его строгую гармонию.;;;;fact;Проспект — ключ к планировке города XVIII века.;RT-0020;Пётр Еропкин;"архитектура;история"
SD-0163-RU;False;ru;spb;Вознесенский проспект;59.93052;30.30601;Рождение Вознесенского;В 1737 году Комиссия о Санкт-Петербургском строении вдохнула жизнь в Вознесенскую проспективную улицу, а в 1738-м имя закрепилось навек. После пожаров она стала стержнем нового порядка, вытянув город вдоль своих линий. Камни тут дышат замыслами зодчих, что ткали будущее. Шагни сюда — и почувствуй, как растёт Петербург.;;;;fact;Улица стала частью трёхлучевой системы города.;RT-0020;;"городское планирование;архитектура"
SD-0164-RU;False;ru;spb;Вознесенский проспект;59.93052;30.30601;Имя от исчезнувшего храма;Вознесенский проспект получил имя от Вознесенской церкви, что канула в Лету, но оставила след в 1775 году, когда название стало вечным. Храм исчез, а улица осталась — как память о молитвах и колоколах. Её камни хранят шёпот прошлого, что не смолкает. Пройдись тут — и найди эхо той утраченной святыни.;;;;fact;Церковь стояла у истоков проспекта, но не пережила веков.;RT-0020;;"религия;архитектура;город"
SD-0165-RU;False;ru;spb;Вознесенский проспект;59.93052;30.30601;Имена сквозь время;С 1923 по 1991 год Вознесенский проспект звался Майорова — в честь комиссара Гражданской войны, чья кровь запеклась в истории. В 1991-м старое имя вернулось, как птица, что сбросила оковы советских лет. Улица молча пережила эти смены, храня слои эпох. Встань здесь — и подумай, какое имя ей ближе.;;;;fact;Майоров погиб в 1919 году, но Вознесенский победил время.;RT-0020;;"топонимика;архитектура;город"
SD-0166-RU;False;ru;spb;Вознесенский проспект;59.93052;30.30601;Протяжённость и расположение проспекта;Вознесенский проспект тянется на 1,77 км — от Адмиралтейства до Фонтанки, где он уходит дальше. Это нить, которая связывает центр города, короткая, но живая.;;;;fact;;RT-0020;;"транспорт;архитектура;город;"
SD-0167-RU;False;ru;spb;Вознесенский проспект;59.93052;30.30601;Известные жители Вознесенского проспекта;Достоевский, Соловьёв, Балакирев, Пушкин — гении ступали по этим камням. Их шаги рождали строки и ноты, которые до сих пор звучат в мире.;;;;fact;;RT-0020;Фёдор Достоевский;"персоналии;литература;культура;;"
SD-0168-RU;False;ru;spb;Вознесенский проспект;59.93052;30.30601;Вознесенский проспект в литературе;Гоголь в «Носе» и Достоевский в «Униженных и оскорблённых» вдохновлялись этой улицей. Её углы и запахи легли в основу их мрачных, живых страниц.;;;;fact;;RT-0020;Фёдор Достоевский;"персоналии;литература;культура;;"
SD-0169-RU;False;ru;spb;Вознесенский проспект;59.93052;30.30601;Архитектурное наследие Вознесенского проспекта;Проспект сформировал облик города — парадные и дома хранят его старину. Каждое здание — кусочек пазла, из которого сложился центр Петербурга.;;;;fact;;RT-0020;;"архитектура;наследие;;"
SD-0170-RU;False;ru;spb;Вознесенский проспект;59.93052;30.30601;Вознесенский проспект и мосты;Мойка и канал Грибоедова протекают под проспектом, связывая его с водой. Мосты скрипят под ногами, а река уносит городские тайны дальше.;;;;fact;;RT-0020;;"гидрография;мосты;;"
SD-0171-RU;False;ru;spb;Вознесенский проспект;59.93052;30.30601;Вознесенский проспект и Адмиралтейская перспектива;Он — часть «Невского трезубца», расходящегося от Адмиралтейства лучами. Вместе с Невским проспектом и Гороховой улицей они образуют звезду города, вечную и строгую.;;;;fact;;RT-0020;;"архитектура;градостроительство;;"
SD-0145-RU;False;ru;spb;Дворцовая площадь;59.9398;30.3146;История Дворцовой площади;Дворцовая площадь — сердце Санкт-Петербурга, место исторических событий и парадов, начиная с XVIII века до наших дней.;;;Площадь объединяет архитектурные памятники и революционные события.;fact;;RT-0001;Александр I;"архитектура;история;религия;"
QZ-011-RU;true;ru;spb;Исаакиевская площадь, д. 4;59.9332;30.3060;Купол Исаакия;;Какой металл использовался при покрытии купола Исаакиевского собора?;"Золото;Медь;Железо;Свинец";0;fact;Купол покрыт золотом нанесённым по специальной технологии амальгамирования.;RT-0010;Огюст Монферран;"архитектура;религия"
SD-0146-RU;False;ru;spb;Исаакиевская площадь;59.9332;30.3060;Тайны Исаакиевского собора;Собор строился 40 лет и был крупнейшим православным храмом в России в XIX веке.;;;Монферран прожил всего год после завершения строительства собора.;fact;;RT-0010;Огюст Монферран;"религия;архитектура"
SD-0147-RU;False;ru;spb;Сенатская площадь;59.9337;30.3029;Восстание декабристов;В 1825 году здесь произошло восстание декабристов — первая попытка изменить самодержавие.;;;Многие участники были казнены или сосланы, но идея свободы осталась жить.;;;RT-0011;Павел Пестель;"история;революция"
QZ-012-RU;True;ru;spb;Санкт-Петербург, Сенатская площадь;59.93370;30.30290;Чей памятник видел бунт?;Сенатская площадь в 1825 году стала ареной восстания декабристов.;Чей бронзовый взгляд следил за дерзостью декабристов 14 декабря?;"Пётр I;Николай I;Александр I;Павел I";0;fact;Медный всадник — памятник Петру I — был немым свидетелем восстания.;RT-0011;Пётр I;"история;революция"
SD-0144-RU;False;ru;spb;Невский проспект;59.93205;30.34685;Аничков мост — страж Фонтанки;Аничков мост, возведённый в 1841 году, — старейший над Фонтанкой, где бронзовые кони Клодта рвутся в вечность. Его арки помнят цокот копыт и шум города, что рос вокруг. Скульптуры укротителей стали символом силы и красоты Петербурга. Пройдись по нему — и услышишь, как река шепчет о прошлом.;;;;fact;Мост перестроили в камне, чтобы выдержать парады.;RT-0006;Пётр Клодт;"архитектура;город"
SD-0052-RU;False;ru;spb;Казанская площадь;59.93428;30.32442;Тайны Казанского собора;Казанский собор вознёс свои колонны над Петербургом, как каменный гимн вере и славе. Его стены скрывают замыслы Воронихина, а тени хранят молитвы царей. Здесь ветер несёт эхо побед и торжеств XIX века. Встань у входа — и найди в камнях отголоски былого величия.;;;;fact;Собор построен в 1801–1811 годах как символ триумфа над Наполеоном.;RT-0005;Андрей Воронихин;"архитектура;религия"
QZ-005-RU;True;ru;spb;Заячий остров, Петропавловская крепость, д. 3;59.95027;30.31646;Рождение города;В 1703 году на Заячьем острове выросла Петропавловская крепость — первый камень Петербурга.;Кто бросил вызов болотам, заложив эту твердыню?;"Пётр I;Екатерина II;Василий Татищев;Андрей Воронихин";0;fact;Пётр I начал строительство 27 мая 1703 года чтобы защитить Неву.;RT-0001;Пётр I;"история;архитектура"
SD-0102-RU;False;ru;spb;Михайловский замок;59.93805;30.34223;Шаги Павла I в ночи;В марте 1801 года Михайловский замок стал последним приютом Павла I, чья жизнь оборвалась от рук заговорщиков. Ночью тут слышны шаги и шорох мантии — его тень всё ещё бродит по залам, ища покоя. Говорят, стража видела его силуэт у окна в час смерти. Загляни сюда в сумерках — не коснётся ли тебя его взгляд?;;;;legend;Убийство произошло в спальне императора.;RT-0004;Павел I;"мистика;императорская история"
SD-0064-RU;False;ru;spb;Малая Морская улица;59.93338;30.30773;Малая Морская — эхо верфей;В XVIII веке Малая Морская родилась в тени Адмиралтейской слободы, где ремесленники Петра I стучали молотами для флота. Пожар 1736 года спалил лачуги, и улица оделась в камень, став крепкой, как корабельный борт. Здесь ветер до сих пор несёт запах смолы и соли. Шагни вдоль — и услышишь труд минувших дней.;;;;fact;Каменная застройка сделала её одной из первых прочных улиц.;RT-0020;;"история;архитектура"
SD-0065-RU;False;ru;spb;Малая Морская улица, 13;59.93305;30.30845;Глинка и ноты дома №13;В 1830-х годах в доме №13 на Малой Морской Михаил Глинка творил «Жизнь за царя», вплетая в ноты шум Петербурга. Здесь, в свете свечей, звучали скрипки и голоса друзей-музыкантов, рождая русскую оперу. Стены впитали его мелодии, что стали вечными. Загляни сюда — вдруг услышишь их отголоски.;;;;fact;Глинка заложил основы национальной музыки в этих комнатах.;RT-0020;Михаил Глинка;"музыка;культура"
SD-0066-RU;False;ru;spb;Малая Морская улица, 9;59.93293;30.30888;Призрак Достоевского в тенях;Легенда шепчет, что у дома №9 на Малой Морской бродит тень Достоевского, чьи шаги звучат в тумане, как строки его романов. Он бывал здесь у друга, впитывая мрак улиц для своих героев. Местные клянутся, что видели его силуэт в плаще. Вглядись в полумрак — не шепнёт ли он тебе сюжет?;;;;legend;Район вдохновлял писателя на мрачные образы.;RT-0020;Фёдор Достоевский;"мистика;литература"
SD-0067-RU;False;ru;spb;Вознесенский проспект;59.93132;30.30948;Вознесенский — луч Еропкина;После пожаров 1736–1737 годов Вознесенский проспект вырос по плану Еропкина, пронзив город от Адмиралтейства к Фонтанке. Его камни — часть великой перспективы Петербурга, где каждый шаг дышит замыслом зодчего. Ветер тут несёт запах смолы и мечты о славе. Пройдись вдоль — и ощути, как город раскрывается.;;;;fact;Проспект — один из трёх лучей Невского трезубца.;RT-0021;Пётр Еропкин;"архитектура;история"
SD-0068-RU;False;ru;spb;Вознесенский проспект;59.93099;30.30989;Имя, что вернулось;С 1923 по 1991 год Вознесенский проспект звался Майорова — в честь комиссара, чья жизнь оборвалась в Гражданскую войну, но в 1991-м старое имя вернулось, как эхо прошлого. Улица пережила эти смены молча, храня память о храме и революциях. Камни тут шепчут о спорах времени. Пройдись вдоль — и подумай, какое имя ей ближе.;;;;fact;Майоров погиб в 1919 году, но Вознесенский остался вечным.;RT-0021;;"топонимика;история"
QZ-011-RU;True;ru;spb;Казанская площадь, 2;59.93428;30.32442;Зодчий Казанского собора;Казанский собор парит над площадью, как каменный венец XIX века.;Кто воздвиг этот храм, вдохнув в него дух империи?;"Карл Росси мастер парадов;Андрей Воронихин сын крепостных;Леблон Бенуа гений из Франции;Андреян Захаров строитель флота";1;fact;Андрей Воронихин создал собор в стиле ампир с 1801 по 1811 годы.;RT-0005;Андрей Воронихин;"архитектура;религия"
QZ-020-RU;True;ru;spb;Дворцовая площадь;59.93983;30.31575;Голос революции;Гулкий выстрел с корабля разорвал тишину Дворцовой площади в 1917 году, призвав к штурму Зимнего.;Какой корабль дал сигнал к Октябрю?;"Крейсер «Аврора»;«Потёмкин»;«Варяг»;«Орёл»";0;fact;Выстрел «Авроры» 25 октября 1917 года стал началом штурма.;RT-0003;В.И.Ленин;"революция;история"
SD-0116-RU;False;ru;spb;Петроградская набережная, д. 2;59.95575;30.33755;«Аврора» — страж истории;Крейсер «Аврора» — живая легенда, что прошла три войны и блокаду, став символом революции и музеем на воде. Её пушки гремели в 1917-м, а корпус хранит шрамы времени. Теперь она стоит у Невы, рассказывая о славе и борьбе. Подойди ближе — и услышишь эхо её выстрелов.;;;;fact;Спущена на воду в 1900 году, стала музеем в 1956-м.;RT-0003;В.И.Ленин;"революция;флот"
QZ-021-RU;True;ru;spb;Петроградская набережная;59.95575;30.33755;Рождение «Авроры»;Крейсер «Аврора» — символ революции, что стоит у Невы.;В каком году этот корабль впервые коснулся воды?;"1895 преддверие века;1900 начало пути;1905 год бурь;1912 эхо войн";1;fact;«Аврора» спущена на воду 11 мая 1900 года в Петербурге.;RT-0003;;"флот;история"
SD-0117-RU;False;ru;spb;Невский проспект, 28;59.93200;30.34600;Казанский собор — храм побед;Казанский собор на Невском, вдохновлённый собором Святого Петра в Риме, вознёсся в начале XIX века как гимн русской славе. Его колонны хранят трофеи войн и прах Кутузова, а стены шепчут о триумфах. Здесь время застыло в камне и молитвах. Встань под куполом — и вдохни величие прошлого.;;;;fact;Собор освящён в 1811 году как памятник победы над Наполеоном.;RT-0005;Андрей Воронихин;"архитектура;религия"
SD-0154-RU;False;ru;spb;Зимняя канавка;59.94102;30.31201;Зимняя канавка — шёпот воды;Зимняя канавка — кроха в 228 метров, что соединяет Неву с Мойкой, сотворённая Валлен-Деламотом в XVIII веке. Её воды текут под аркой Эрмитажа, создавая один из самых живописных видов города. Здесь шепчутся волны и камни, храня тайны Петербурга. Пройдись вдоль — и поймай этот тихий миг красоты.;;;;fact;Канавка — самая короткая водная артерия города.;RT-0003;Жан-Батист Валлен-Деламот;"архитектура;река"
QZ-012-RU;True;ru;spb;Исаакиевская площадь, д. 4;59.93477;30.30861;Мастер Исаакия;Исаакиевский собор возвышается над площадью, как каменный исполин.;Кто вложил душу в этот храм, строя его 40 лет?;"Огюст Монферран зодчий куполов;Карл Росси гений парадов;Андреян Захаров сын флота;Василий Баженов мечтатель камня";0;fact;Огюст Монферран строил собор с 1818 по 1858 годы.;RT-0007;Огюст Монферран;"архитектура;религия"
SD-0180-RU;False;ru;spb;Биржевая площадь;59.94438;30.30688;Ростральные колонны — маяки славы;Ростральные колонны на Биржевой площади возвышаются как символ морской мощи России, их огонь зажигали в дни триумфов и визитов. Это не просто столпы — маяки, что вели корабли по Неве. Их бронза хранит дыхание побед. Загляни сюда в праздник — и увидишь, как пламя оживает.;;;;fact;Колонны построены в 1810 году по проекту Тома де Томона.;RT-0009;Тома де Томон;"архитектура;флот"
QZ-014-RU;True;ru;spb;Малая Морская улица;59.93319;30.30762;Тень в переулках;Легенды Малой Морской шепчут о призраке, что бродит в её тенях.;Чья тень, по слухам, ищет вдохновение среди домов этой улицы?;"Фёдор Достоевский;Александр Пушкин;Павел I;Анна Ахматова";0;legend;Достоевский бывал тут, и его образ стал частью мифов улицы.;RT-0002;Фёдор Достоевский;"мистика;литература"
SD-0122-RU;False;ru;spb;Театральная площадь;59.92599;30.29590;Мариинка — голос веков;Мариинский театр, открытый в 1860 году в честь Марии Александровны, супруги Александра II, стал сценой, где расцвели звёзды русского балета и оперы. Здесь воздух дрожит от арий и шороха пуантов, а стены хранят эхо великих талантов. Сегодня он — живая легенда, зовущая мир в свои залы. Пройдись у театра — и услышишь мелодию вечности.;;;;fact;Театр остаётся одним из лучших в мире по акустике и мастерству.;RT-0010;;"искусство;театр"
SD-0146-RU;False;ru;spb;Сенатская площадь;59.93354;30.30346;Декабристы — крик свободы;14 декабря 1825 года Сенатская площадь вспыхнула восстанием декабристов, чьи голоса требовали Конституции и конца цепей. Их смелость разорвала морозный воздух, оставив след в камнях и истории. Жестокий разгон не стёр их мечты о свободе. Встань здесь — и вдохни отголоски того дерзкого дня.;;;;fact;Пётр Каховский застрелил генерала Милорадовича во время бунта.;RT-0002;Пётр Каховский;"история;революция"
QZ-015-RU;True;ru;spb;Санкт-Петербург, Сенатская площадь;59.93354;30.30346;Вождь декабристов;Восстание декабристов 1825 года потрясло Сенатскую площадь.;Кто встал во главе бунта, призывая к свободе под тенью Медного всадника?;"Сергей Муравьёв-Апостол;Павел Пестель;Кондратий Рылеев;Никита Муравьёв";2;fact;Кондратий Рылеев был ключевым лидером и вдохновителем восстания.;RT-0002;Кондратий Рылеев;"история;революция"
SD-0147-RU;False;ru;spb;Аничков мост;59.93180;30.34210;Кони Клодта над Фонтанкой;Аничков мост славен не только стариной, но и бронзовыми укротителями коней Клодта, что стали душой Петербурга. Более десяти лет мастер ваял эти фигуры, вложив в них силу и грацию. Их взгляд провожает каждого, кто шагает над рекой. Остановись тут — и почувствуй, как кони рвутся в вечность.;;;;fact;Скульптуры установлены в 1841 году и стали символом города.;RT-0006;Пётр Клодт;"искусство;архитектура"
QZ-016-RU;True;ru;spb;Аничков мост;59.93180;30.34210;Мастер коней;Аничков мост охраняют бронзовые кони, что стали легендой.;Чья рука укротила этих коней, высекая их в вечности?;"Карл Росси зодчий парадов;Пётр Клодт гений бронзы;Бартоломео Растрелли мастер дворцов;Александр Бенуа художник снов";1;fact;Пётр Клодт создал скульптуры, завершив работу в 1841 году.;RT-0006;Пётр Клодт;"искусство;архитектура"
SD-0148-RU;False;ru;spb;Дворцовая площадь;59.93980;30.31460;Зимний — трон империи;Зимний дворец на Дворцовой площади — былой дом царей, ныне сокровищница Эрмитажа, где вершилась судьба России. Его залы помнят шаги Екатерины II и гул штурма 1917 года. Камни дышат величием и бурями эпох. Шагни сюда — и вдохни дыхание истории.;;;;fact;Штурм 25 октября 1917 года стал началом Октябрьской революции.;RT-0001;Екатерина II;"архитектура;революция"
QZ-017-RU;True;ru;spb;Дворцовая площадь;59.93980;30.31460;Хозяин Зимнего;Зимний дворец на Дворцовой площади хранит тени императоров.;Кто из них дольше всех правил из этих стен, оставив след в веках?;"Николай I страж порядка;Пётр I отец города;Екатерина II царица славы;Александр III тень силы";2;fact;Екатерина II правила 34 года, с 1762 по 1796, и жила в Зимнем.;RT-0001;Екатерина II;"архитектура;империя"
SD-0133-RU;False;ru;spb;Зимний дворец;59.93984;30.31335;Зимний — сердце империи;Зимний дворец с XVIII века был резиденцией царей, а ныне — частью Эрмитажа, где каждый зал — страница истории России. Его барочные стены видели триумфы Екатерины и крики революций. Он пережил войны и пожары, оставаясь символом города. Встань перед ним — и ощути, как бьётся пульс эпох.;;;;fact;Дворец построен в 1754–1762 годах по проекту Растрелли.;RT-0001;Екатерина II;"история;императорская история"
QZ-021-RU;True;ru;spb;Зимний дворец;59.93984;30.31335;Гений Зимнего;Зимний дворец — это не просто стены, а эпоха, высеченная в камне.;Чья рука сотворила этот дворец, что стал домом царей?;"Андрей Воронихин мастер храмов;Бартоломео Растрелли барокко гений;Карл Росси зодчий площадей;Матвей Казаков сын Москвы";1;fact;Бартоломео Растрелли спроектировал дворец, завершив его в 1762 году.;RT-0001;Бартоломео Растрелли;"архитектура;история"
SD-0142-RU;False;ru;spb;Дворцовая площадь;59.93901;30.31565;Колонна Александра — вызов небесам;Александровская колонна вознеслась на Дворцовой площади в честь победы над Наполеоном, её 600 тонн держатся лишь силой тяжести. Этот монумент, рождённый в 1834 году, удивляет инженеров и ныне. Она парит над городом, как вечный страж славы. Подойди ближе — и почувствуй её немую мощь.;;;;fact;Колонна — дар Николаю I от Огюста Монферрана.;RT-0001;Николай I;"архитектура;военная история"
QZ-033-RU;True;ru;spb;Дворцовая площадь;59.93901;30.31565;Страж площади;Дворцовая площадь сияет величием, но что возвышается в её сердце?;Чей монумент парит в центре Дворцовой площади, знаменуя славу?;"Казанский собор;Пётр I;Александровская колонна;Триумфальная арка";2;fact;Александровская колонна воздвигнута в 1834 году в честь победы над Наполеоном.;RT-0001;Николай I;"архитектура;история"
SD-0150-RU;False;ru;spb;Медный всадник;59.93574;30.30275;Медный всадник — скакун вечности;Медный всадник, рождённый в 1782 году рукой Этьена Фальконе по воле Екатерины II, вознёс Петра I над Невой как символ мощи и славы. Его бронза дышит решимостью, а взгляд пронзает века. Легенда шепчет: пока он стоит, Петербург непобедим. Встань у подножия — и ощути, как история скачет рядом.;;;;fact;Памятник открыт 7 августа 1782 года и стал первым конным монументом России.;RT-0003;Пётр I;"скульптура;история"
SD-0145-RU;False;ru;spb;Невский проспект, 20;59.93276;30.34597;Елисеевский — храм роскоши;На Невском, 20, стоит Елисеевский магазин, возведённый в стиле модерн в 1902–1903 годах, — гастрономический дворец купцов Елисеевых. Его витражи и стеклянный купол манят, как сказка, а стены хранят шёпот дореволюционной роскоши. Здесь время застыло в блеске витрин. Загляни внутрь — и вдохни аромат былого изобилия.;;;;fact;Магазин открылся в 1907 году и стал чудом эпохи.;RT-0006;;"архитектура;торговля"
QZ-012-RU;True;ru;spb;Невский проспект, 20;59.93276;30.34597;Стиль Елисеевского;На Невском, 20, Елисеевский магазин сияет, как жемчужина прошлого.;В каком стиле воздвигнут этот дворец вкуса?;"Барокко;Модерн;Ампир;Классицизм";1;fact;Здание построено в стиле модерн Гавриилом Барановским в 1902–1903 годах.;RT-0006;;"архитектура;история;"
SD-0146-RU;False;ru;spb;Казанская площадь, 3;59.93405;30.32433;Кутузов — страж собора;Перед Казанским собором возвышается памятник Кутузову, герою 1812 года, чья бронза хранит память о победах над Наполеоном. Установленный в 1837 году Борисом Орловским, он смотрит на город, как вечный дозорный. Здесь слава войны сливается с тишиной храма. Подойди ближе — и вдохни его непреклонную силу.;;;;fact;Кутузов похоронен внутри собора, что делает памятник ещё значимее.;RT-0005;Кутузов;"архитектура;военная история"
QZ-013-RU;True;ru;spb;Казанская площадь, 3;59.93405;30.32433;Время Кутузова;Перед Казанским собором замер в бронзе великий полководец.;В каком году его монумент встал у стен храма?;"1812;1820;1837;1855";2;fact;Памятник Кутузову открыт 25 декабря 1837 года.;RT-0005;Кутузов;"архитектура;история"
SD-0141-RU;False;ru;spb;Стрелка Васильевского острова;59.94424;30.30544;Стрелка — дыхание Невы;Стрелка Васильевского острова, где Нева делится на рукава, — знаковое сердце города, увенчанное ростральными колоннами морской славы. Их пламя зажигается в праздники, озаряя воды, что несут тайны Петербурга. Здесь река и камень сливаются в вечном танце. Пройдись у колонн — и услышишь шёпот волн.;;;;fact;Колонны — маяки, построенные в 1810 году Тома де Томоном.;RT-0013;Тома де Томон;"архитектура;город"
